icase,CHL,MALH,P_LUB,rhow_350.0,rhow_360.0,rhow_370.0,rhow_380.0,rhow_390.0,rhow_400.0,rhow_410.0,rhow_420.0,rhow_430.0,rhow_440.0,rhow_450.0,rhow_460.0,rhow_470.0,rhow_480.0,rhow_490.0,rhow_500.0,rhow_510.0,rhow_520.0,rhow_530.0,rhow_540.0,rhow_550.0,rhow_560.0,rhow_570.0,rhow_580.0,rhow_590.0,rhow_600.0,rhow_610.0,rhow_620.0,rhow_630.0,rhow_640.0,rhow_650.0,rhow_660.0,rhow_670.0,rhow_680.0,rhow_690.0,rhow_700.0,rhow_710.0,rhow_720.0,rhow_730.0,rhow_740.0,rhow_750.0,rhow_760.0,rhow_770.0,rhow_780.0,rhow_790.0,rhow_800.0,rhow_810.0,rhow_820.0,rhow_830.0,rhow_840.0,rhow_850.0,rhow_860.0,rhow_870.0,rhow_880.0,rhow_890.0,D2rhow_350.0,D2rhow_360.0,D2rhow_370.0,D2rhow_380.0,D2rhow_390.0,D2rhow_400.0,D2rhow_410.0,D2rhow_420.0,D2rhow_430.0,D2rhow_440.0,D2rhow_450.0,D2rhow_460.0,D2rhow_470.0,D2rhow_480.0,D2rhow_490.0,D2rhow_500.0,D2rhow_510.0,D2rhow_520.0,D2rhow_530.0,D2rhow_540.0,D2rhow_550.0,D2rhow_560.0,D2rhow_570.0,D2rhow_580.0,D2rhow_590.0,D2rhow_600.0,D2rhow_610.0,D2rhow_620.0,D2rhow_630.0,D2rhow_640.0,D2rhow_650.0,D2rhow_660.0,D2rhow_670.0,D2rhow_680.0,D2rhow_690.0,D2rhow_700.0,D2rhow_710.0,D2rhow_720.0,D2rhow_730.0,D2rhow_740.0,D2rhow_750.0,D2rhow_760.0,D2rhow_770.0,D2rhow_780.0,D2rhow_790.0,D2rhow_800.0,D2rhow_810.0,D2rhow_820.0,D2rhow_830.0,D2rhow_840.0,D2rhow_850.0,D2rhow_860.0,D2rhow_870.0,D2rhow_880.0,D2rhow_890.0
44,,2.1425682e-05,0,0.002778,0.002681,0.002527,0.002412,0.002349,0.002255,0.002179,0.002141,0.002138,0.002158,0.002244,0.002337,0.002424,0.002508,0.002596,0.002725,0.00292,0.003144,0.00342,0.003752,0.004029,0.004209,0.004247,0.004128,0.003825,0.003336,0.002988,0.00284,0.002745,0.002691,0.002571,0.002271,0.00196,0.001897,0.002065,0.002103,0.001803,0.001303,0.000903,0.000728,0.000704,0.000675,0.000668,0.000678,0.000688,0.000708,0.000704,0.000635,0.000554,0.000502,0.000481,0.000461,0.000442,0.000413,0.000366,,-9.5482644e-05,-7.3418925e-05,1.7498811e-05,4.5268664e-05,9.7384689e-05,0.00012553495,0.00012724679,0.00012249168,0.00011963861,9.3580599e-05,8.08369e-05,8.3119353e-05,0.00010309082,0.00013656681,0.00015653828,0.00013428436,7.2848312e-05,-3.8801712e-05,-0.00020599144,-0.00037983833,-0.00047741322,-0.00047741322,-0.00039771755,-0.0002295768,-1.3694722e-05,9.5863053e-05,0.00010023776,0.00010175939,9.6623871e-05,5.6490728e-05,4.7360913e-05,4.2415597e-05,-2.7769853e-05,-0.00013523538,-0.00017708036,-0.00012553495,4.1844983e-06,0.00014626724,0.0002466952,0.00026685687,0.00022006657,0.00011450309,1.9210651e-05,-2.7769853e-05,-4.3937233e-05,-5.1735616e-05,-3.0432715e-05,-3.233476e-06,9.5102235e-06,2.1302901e-05,2.8150262e-05,3.6709463e-05,,
45,,-0.00061015701,0,0.002437,0.002356,0.00222,0.002133,0.002098,0.002027,0.001972,0.001966,0.001992,0.002028,0.002101,0.002179,0.002264,0.002351,0.002434,0.002545,0.00271,0.002906,0.003142,0.003402,0.003622,0.003778,0.003821,0.003736,0.003488,0.003082,0.002804,0.002693,0.002621,0.002571,0.002451,0.002196,0.001959,0.001919,0.002037,0.002041,0.001757,0.001309,0.000984,0.000878,0.000886,0.000853,0.00086,0.000896,0.000892,0.000902,0.000874,0.000786,0.000739,0.000721,0.000724,0.000726,0.000702,0.000671,0.000622,,-7.5257227e-05,-4.977952e-05,3.1945125e-05,5.2719255e-05,9.4855463e-05,0.00011582558,0.00010818226,9.7991181e-05,9.3287604e-05,7.2513474e-05,6.3498285e-05,6.7417932e-05,8.466438e-05,0.00011014209,0.00012405683,0.00010524253,5.3503185e-05,-3.8608525e-05,-0.00017285644,-0.00031690348,-0.00040019598,-0.00040039196,-0.00033493386,-0.00019657031,-1.7834395e-05,7.1729544e-05,7.721705e-05,8.0940715e-05,7.5061244e-05,4.3312102e-05,3.3121019e-05,1.6462518e-05,-4.566389e-05,-0.00012248898,-0.00014600686,-9.1131798e-05,3.9392455e-05,0.00016599706,0.00022988731,0.00022949535,0.00018128368,7.3493386e-05,-1.3522783e-05,-3.6256737e-05,-3.8020578e-05,-3.3121019e-05,-1.9598236e-06,1.744243e-05,1.411073e-05,1.4894659e-05,8.6232239e-06,1.6462518e-05,,
46,,-6.9083845e-05,0,0.004415,0.004275,0.004145,0.004087,0.004063,0.004007,0.003986,0.003997,0.004046,0.004084,0.00421,0.004365,0.004496,0.004609,0.004724,0.004867,0.005085,0.005335,0.005608,0.005919,0.006181,0.006378,0.006423,0.006326,0.006045,0.005613,0.005319,0.005196,0.005112,0.005075,0.004947,0.004672,0.004426,0.004431,0.004563,0.004538,0.004269,0.003766,0.003426,0.00339,0.003457,0.003397,0.003431,0.003509,0.003489,0.003508,0.003475,0.003305,0.003304,0.003313,0.003348,0.003344,0.003327,0.003273,0.003174,,-2.5473777e-05,-1.3045394e-05,2.5297488e-05,3.287792e-05,5.3856324e-05,5.8880564e-05,5.7029528e-05,5.3239312e-05,5.4561481e-05,4.0017629e-05,3.0057294e-05,2.9969149e-05,3.8431027e-05,4.8920229e-05,5.7910974e-05,5.0506831e-05,2.1947995e-05,-2.4768621e-05,-9.4226532e-05,-0.00016588806,-0.000207316,-0.00020405465,-0.00017029528,-9.6606435e-05,-8.6381666e-06,3.6315558e-05,4.0282063e-05,4.6981049e-05,4.0370207e-05,2.2653151e-05,2.1507272e-05,9.6959013e-06,-2.8558836e-05,-5.8263552e-05,-5.9233142e-05,-4.1339797e-05,2.8646981e-05,9.5901278e-05,0.00011211988,9.9779639e-05,8.3737329e-05,1.8422212e-05,-2.5385632e-05,-2.4239753e-05,-1.8598502e-05,-1.8422212e-05,1.3045394e-05,1.5337153e-05,3.2613486e-06,-1.2340238e-06,-3.4376377e-06,-1.9391803e-06,,
47,,0.00050834646,0,0.005026,0.004763,0.004434,0.004211,0.004042,0.003869,0.003719,0.003627,0.003599,0.00356,0.003651,0.003763,0.003843,0.003911,0.003993,0.004119,0.004318,0.004553,0.004834,0.005163,0.005418,0.005576,0.005584,0.005427,0.005067,0.004493,0.004093,0.003926,0.00381,0.003736,0.003589,0.00326,0.002941,0.002902,0.003038,0.003016,0.00266,0.002072,0.001617,0.001444,0.00143,0.001376,0.001378,0.001418,0.001419,0.001441,0.001423,0.001317,0.001226,0.001181,0.001166,0.001158,0.001134,0.001084,0.001034,,-0.00013846154,-0.00010702918,2.6923077e-05,6.6578249e-05,0.00012453581,0.00014429708,0.00013567639,0.00012254642,0.00012135279,9.0981432e-05,6.7771883e-05,6.5517241e-05,8.1034483e-05,9.7745358e-05,0.0001102122,9.3236074e-05,4.2572944e-05,-4.3766578e-05,-0.00016790451,-0.00029496021,-0.00036352785,-0.0003566313,-0.00029310345,-0.0001637931,2.7851459e-06,8.6206897e-05,8.9257294e-05,9.403183e-05,8.3952255e-05,4.3899204e-05,3.0901857e-05,1.5384615e-05,-5e-05,-0.00011883289,-0.00013435013,-9.071618e-05,2.3209549e-05,0.00014403183,0.00020809019,0.00021180371,0.0001765252,8.3952255e-05,9.2838196e-07,-2.8249337e-05,-3.7931034e-05,-4.137931e-05,-1.6180371e-05,6.6312997e-06,1.2068966e-05,1.8965517e-05,1.8700265e-05,2.4270557e-05,,
48,,-0.00075658347,0,0.00238,0.002275,0.002105,0.002017,0.001967,0.001882,0.001828,0.001816,0.00184,0.001885,0.001964,0.00205,0.002127,0.002219,0.002306,0.002417,0.00258,0.002775,0.002995,0.003231,0.003424,0.003556,0.003596,0.003506,0.003263,0.002864,0.002581,0.002473,0.0024,0.002357,0.002263,0.002026,0.001804,0.001773,0.001889,0.001861,0.001576,0.001151,0.000824,0.000676,0.000655,0.000641,0.000638,0.000648,0.00066,0.000684,0.000683,0.000635,0.000573,0.000525,0.000512,0.000498,0.000477,0.000464,0.000429,,-9.6077378e-05,-6.2117141e-05,3.9978506e-05,7.1144546e-05,0.00012466416,0.00014379366,0.00012896292,0.00011950564,0.00010811392,7.9742074e-05,6.6200967e-05,7.2434175e-05,8.5330467e-05,0.00010832886,0.00011907577,9.586244e-05,3.718431e-05,-5.6958624e-05,-0.00019193982,-0.00033680817,-0.00041934444,-0.00041783987,-0.00034755508,-0.00020161204,-8.8124664e-06,9.0274046e-05,9.7581945e-05,0.0001029554,9.4142934e-05,4.2772703e-05,2.2568512e-05,3.4390113e-06,-6.9210102e-05,-0.00016012896,-0.00017281032,-0.00010424503,3.0091349e-05,0.00016614723,0.00025728103,0.00026544868,0.00020999463,0.00010961848,2.1708759e-05,-2.5577646e-05,-4.3202579e-05,-4.8790973e-05,-3.3315422e-05,-7.307899e-06,8.38259e-06,1.91295e-05,2.4932832e-05,3.3960236e-05,,
49,,-0.00094733521,0,0.003004,0.002899,0.002791,0.002716,0.002683,0.002626,0.002582,0.002581,0.002606,0.002664,0.002788,0.002901,0.003001,0.003116,0.00322,0.00335,0.003554,0.003785,0.004063,0.004382,0.00465,0.00482,0.004845,0.004723,0.004427,0.003952,0.003624,0.003481,0.003386,0.003341,0.003221,0.002944,0.002661,0.002603,0.002738,0.002758,0.002476,0.00197,0.001583,0.001448,0.001456,0.001405,0.001421,0.001468,0.001465,0.001478,0.001464,0.001369,0.001304,0.001277,0.001274,0.001265,0.001249,0.00123,0.001172,,-4.5975344e-05,-3.0456853e-05,2.5815809e-05,4.3799855e-05,7.8317621e-05,9.2240754e-05,9.1370558e-05,8.9920232e-05,8.3393764e-05,5.8013053e-05,4.8440899e-05,5.2791878e-05,6.337926e-05,8.7889775e-05,0.00010703408,8.8905004e-05,4.0029007e-05,-4.1624365e-05,-0.00016200145,-0.0002897752,-0.00035707034,-0.0003515591,-0.00028963017,-0.00016403191,-4.7860769e-06,7.4836838e-05,7.8897752e-05,8.0348078e-05,7.0050761e-05,3.8868745e-05,3.0746918e-05,1.870921e-05,-3.4372734e-05,-9.9637418e-05,-0.00012168238,-8.7454677e-05,2.0594634e-05,0.00013125453,0.00018955765,0.00019202321,0.00016388687,7.2081218e-05,-7.106599e-06,-2.973169e-05,-3.2777375e-05,-3.7418419e-05,-9.862219e-06,1.3052937e-05,1.2037708e-05,1.4793328e-05,1.5373459e-05,1.7403916e-05,,
50,,-0.00030130018,0,0.004429,0.004318,0.004179,0.004125,0.004088,0.004002,0.003964,0.003965,0.004017,0.004093,0.004209,0.004362,0.004477,0.004601,0.004722,0.004867,0.00508,0.00533,0.005617,0.005936,0.006198,0.006376,0.006412,0.006302,0.005976,0.005502,0.005183,0.005055,0.004955,0.00492,0.004791,0.004498,0.004215,0.004169,0.004282,0.004263,0.003972,0.003378,0.002952,0.002859,0.002889,0.002809,0.002821,0.002907,0.002882,0.002893,0.002822,0.002658,0.002629,0.002626,0.002655,0.002633,0.002618,0.002563,0.002513,,-3.3216045e-05,-2.0079756e-05,1.8390805e-05,3.24654e-05,5.9488623e-05,7.0560638e-05,6.8121042e-05,6.49308e-05,5.8550317e-05,4.2317617e-05,3.0025803e-05,3.1996247e-05,4.0534835e-05,5.4890922e-05,6.3148018e-05,5.4234107e-05,2.1487216e-05,-3.105794e-05,-0.00011015717,-0.0001901947,-0.00023354445,-0.00022885292,-0.00019066385,-0.00010283838,-1.4074595e-06,4.7665963e-05,4.8510439e-05,5.2638987e-05,3.9221206e-05,1.7171006e-05,1.4919071e-05,2.8149191e-07,-4.0441004e-05,-7.3657049e-05,-7.9380718e-05,-5.9770115e-05,2.6272578e-05,0.00010996951,0.0001356791,0.00012929862,0.00011034483,3.696927e-05,-2.1862538e-05,-2.6178747e-05,-2.2707014e-05,-1.8953788e-05,1.1541168e-05,1.9892095e-05,1.3417781e-05,9.007741e-06,6.4743139e-06,3.7532254e-06,,
51,,-0.00049752051,0,0.003082,0.002944,0.002754,0.002627,0.002538,0.002439,0.002343,0.002296,0.002307,0.002328,0.002413,0.002514,0.002594,0.002681,0.002763,0.00288,0.003052,0.003248,0.0035,0.003797,0.004035,0.004172,0.004184,0.00406,0.003762,0.003279,0.002938,0.00279,0.002699,0.002653,0.002554,0.002273,0.001987,0.001914,0.002033,0.002034,0.001738,0.00125,0.000849,0.000664,0.000634,0.000606,0.000597,0.000614,0.000626,0.000648,0.000652,0.000576,0.000496,0.00043,0.000416,0.000394,0.000375,0.000355,0.000298,,-0.00011819076,-9.006883e-05,2.6548673e-05,6.5683382e-05,0.00012133727,0.00015181908,0.00014867257,0.00013647984,0.00012684366,9.6951819e-05,7.2173058e-05,7.0009833e-05,8.7512291e-05,0.00011779744,0.0001352999,0.00011445428,5.5457227e-05,-5.093412e-05,-0.00021022616,-0.00037581121,-0.00046293019,-0.00045821042,-0.00037777778,-0.00021120944,6.0963618e-06,0.00011189774,0.00011622419,0.00011327434,9.6165192e-05,4.0314651e-05,2.5565388e-05,1.2979351e-05,-5.5063913e-05,-0.00014729597,-0.00017305801,-0.00011740413,1.6519174e-05,0.00016322517,0.00026175025,0.00027807276,0.00023166175,0.00012428712,2.300885e-05,-3.107178e-05,-4.8377581e-05,-5.9783677e-05,-3.539823e-05,-4.5231072e-06,1.2586037e-05,2.2418879e-05,3.1858407e-05,3.9528024e-05,,
52,,-7.0430155e-05,0,0.002886,0.002807,0.002693,0.002624,0.002586,0.00251,0.002425,0.002384,0.002395,0.002441,0.002606,0.00281,0.002948,0.003059,0.003174,0.003357,0.003611,0.003874,0.004258,0.004766,0.005171,0.00535,0.005317,0.005116,0.004727,0.004088,0.003618,0.0034,0.003281,0.003245,0.003145,0.002763,0.002319,0.002178,0.002388,0.002549,0.002294,0.001708,0.001172,0.000902,0.000854,0.000824,0.000814,0.000834,0.000861,0.000898,0.000902,0.0008,0.000667,0.000578,0.000544,0.00052,0.000484,0.000454,0.000386,,-5.9945077e-05,-4.8489604e-05,5.1785014e-06,2.4323264e-05,7.4068262e-05,0.00012036093,0.0001369949,0.00014013339,0.00013777952,0.00010278541,6.5280502e-05,5.6806591e-05,8.3954492e-05,0.00013479796,0.00016681051,0.00014719498,8.1129855e-05,-5.3511181e-05,-0.00025594351,-0.00045460965,-0.00054468419,-0.00052726559,-0.0004225971,-0.00022644174,2.19694e-05,0.0001376226,0.0001311887,0.00011486858,9.8077678e-05,5.4452727e-05,6.0572774e-05,7.3754413e-05,1.5221656e-05,-9.8705375e-05,-0.00017245979,-0.00015708121,-4.4409572e-05,0.00010482542,0.00022675559,0.00027289133,0.00024291879,0.00013809337,2.6834053e-05,-3.7975677e-05,-6.2455865e-05,-7.2185171e-05,-4.7391134e-05,-7.2185171e-06,1.428011e-05,3.075716e-05,3.8917222e-05,4.9588074e-05,,
53,,-0.00072128206,0,0.002655,0.002568,0.002454,0.002372,0.002329,0.002266,0.0022,0.002179,0.002209,0.002265,0.002425,0.0026,0.002725,0.002839,0.002947,0.003114,0.00334,0.003579,0.003918,0.004354,0.004707,0.004886,0.004877,0.004707,0.004343,0.003771,0.003357,0.003171,0.003066,0.003037,0.002947,0.002628,0.002257,0.002146,0.002321,0.002417,0.002142,0.001586,0.001107,0.000881,0.00085,0.000814,0.000812,0.00085,0.00087,0.000908,0.00091,0.000812,0.000702,0.000639,0.000615,0.000595,0.000571,0.000537,0.000482,,-6.0901945e-05,-4.5510964e-05,1.985933e-05,4.3359537e-05,9.0690939e-05,0.00012709971,0.00013587091,0.00013123707,0.00012345883,8.771204e-05,5.6268101e-05,5.097228e-05,7.4306992e-05,0.00011998345,0.00014960695,0.0001333885,7.347952e-05,-4.799338e-05,-0.00023467108,-0.00041853537,-0.00050889532,-0.00049714522,-0.00040215143,-0.00021431527,1.8535374e-05,0.00013239553,0.00013107158,0.00011932147,9.7641705e-05,4.8655358e-05,4.0215143e-05,4.0215143e-05,-1.9693835e-05,-0.00011981796,-0.00017161771,-0.0001393463,-1.7045925e-05,0.00012941663,0.00023649152,0.00026892842,0.00023566405,0.00012809268,1.8038891e-05,-3.6408771e-05,-5.808854e-05,-6.8018204e-05,-3.9884154e-05,-2.813405e-06,1.2246587e-05,2.6479106e-05,3.3429872e-05,3.9884154e-05,,
54,,-0.00016448771,0,0.002336,0.002234,0.002129,0.00206,0.002018,0.001962,0.001908,0.001902,0.001937,0.002003,0.00216,0.002337,0.002458,0.002579,0.002705,0.002872,0.003091,0.003324,0.003645,0.004051,0.004384,0.004571,0.004592,0.004449,0.004106,0.003547,0.003147,0.002979,0.002886,0.002854,0.002771,0.002447,0.00209,0.001983,0.002128,0.002167,0.001853,0.001303,0.000823,0.000572,0.000522,0.000512,0.000505,0.000511,0.000539,0.000581,0.000589,0.000527,0.000405,0.000315,0.000276,0.000256,0.000229,0.000189,0.00015,,-6.0175358e-05,-4.1901246e-05,2.8241809e-05,5.5929857e-05,0.00010558376,0.00013936317,0.00014453161,0.00014120904,0.00013234887,9.4877711e-05,5.9990771e-05,5.7221966e-05,7.8264882e-05,0.00011887402,0.00014766959,0.00013401015,7.4203969e-05,-4.836179e-05,-0.0002383018,-0.00043359483,-0.00053604061,-0.00053179511,-0.0004369174,-0.00024125519,1.1259806e-05,0.00013364098,0.00013364098,0.00012182741,9.7092755e-05,3.1748962e-05,1.9566221e-05,1.8827873e-05,-4.7438856e-05,-0.0001532072,-0.00019215505,-0.00013788648,-2.0304569e-06,0.00015652976,0.00028112598,0.00031453623,0.00026174435,0.00015136133,3.8024919e-05,-3.5256114e-05,-6.7189663e-05,-7.5680665e-05,-5.9067836e-05,-2.0304569e-05,1.0890632e-05,3.3041071e-05,4.1901246e-05,5.5006922e-05,,
55,,-0.000445232,0,0.002952,0.002898,0.002839,0.002819,0.002841,0.002832,0.002824,0.00286,0.002934,0.003037,0.003178,0.003335,0.003481,0.00362,0.003757,0.003896,0.004106,0.004341,0.004636,0.005,0.005301,0.005503,0.005515,0.005375,0.005029,0.004546,0.00423,0.004084,0.003976,0.003951,0.003859,0.003596,0.003318,0.00325,0.003286,0.003231,0.002917,0.002323,0.001879,0.001757,0.001762,0.00167,0.001659,0.00173,0.001722,0.001739,0.001733,0.00151,0.001449,0.001427,0.001423,0.001409,0.001364,0.001312,0.001168,,-9.1612504e-06,2.5998143e-06,3.0702569e-05,3.8006809e-05,5.7691117e-05,7.2423398e-05,7.4280409e-05,7.0690189e-05,6.4871557e-05,4.6053853e-05,3.2188177e-05,2.9588363e-05,4.0854225e-05,6.4747756e-05,8.5051068e-05,7.7499226e-05,3.8873414e-05,-3.4292789e-05,-0.00015029403,-0.00026740947,-0.00033054782,-0.00032250077,-0.00026468586,-0.00013704735,8.4184463e-06,7.9108635e-05,8.2327453e-05,8.3317858e-05,5.1129681e-05,7.3042402e-06,-5.5710306e-06,-2.8350356e-05,-7.9851439e-05,-0.00010696379,-0.00010411637,-7.0318787e-05,4.0978025e-05,0.00015128443,0.00018495822,0.00017901578,0.00016217889,6.3757351e-05,-1.634169e-05,-3.2188177e-05,-3.62736e-05,-4.7910864e-05,3.7140204e-07,1.7827298e-05,4.4568245e-06,7.5518415e-06,1.0275457e-05,1.8074899e-05,,
56,,-0.0006681175,0,0.006735,0.006649,0.006485,0.006375,0.006316,0.006147,0.006037,0.006026,0.006087,0.006176,0.006318,0.006512,0.006679,0.006824,0.006949,0.007123,0.00738,0.007637,0.00798,0.008435,0.008818,0.009065,0.009107,0.008939,0.00854,0.007889,0.007436,0.007255,0.007143,0.007109,0.007007,0.006617,0.006214,0.00613,0.006288,0.006283,0.005846,0.005113,0.004457,0.004093,0.004011,0.003975,0.003941,0.003974,0.004007,0.004047,0.004035,0.003938,0.003803,0.003685,0.003624,0.003589,0.00357,0.003494,0.003436,,-3.8962279e-05,-2.9221709e-05,4.5837975e-06,1.7762216e-05,4.8320866e-05,6.920261e-05,7.0794207e-05,6.5255451e-05,5.8125099e-05,4.0362884e-05,2.5019895e-05,1.9417476e-05,2.6675155e-05,4.5392329e-05,5.6660831e-05,5.2013369e-05,3.2595894e-05,-1.2541779e-05,-8.7919784e-05,-0.00016705396,-0.00021098201,-0.00021149133,-0.00017539392,-9.7787681e-05,2.9922012e-06,5.1567722e-05,5.1631386e-05,4.9848798e-05,3.8834951e-05,1.0058889e-05,3.055865e-06,-3.8198313e-06,-4.2018144e-05,-8.7474137e-05,-9.8551647e-05,-7.003024e-05,-4.5201337e-06,7.5759987e-05,0.00013426707,0.00014693618,0.0001229349,7.4423046e-05,1.9863123e-05,-1.502467e-05,-2.9221709e-05,-3.2213911e-05,-2.3237307e-05,-8.785612e-06,4.6474614e-06,1.4961006e-05,1.8653509e-05,2.3428299e-05,,
57,,-0.0007925005,0,0.010346,0.010018,0.009559,0.009182,0.008825,0.008455,0.008137,0.007938,0.007822,0.00775,0.007754,0.0078,0.007808,0.007857,0.007869,0.00792,0.008046,0.008164,0.008341,0.008621,0.008873,0.009051,0.009094,0.00892,0.008541,0.007916,0.007465,0.007266,0.007151,0.00709,0.006995,0.006627,0.00625,0.006201,0.006343,0.006155,0.005575,0.004908,0.004167,0.003577,0.00336,0.003427,0.003336,0.003228,0.003254,0.003319,0.00332,0.003372,0.003177,0.002985,0.002865,0.002837,0.002774,0.002719,0.002722,,-0.00012224208,-0.00010534525,-1.2737612e-05,2.8984565e-05,7.73355e-05,0.00010034119,9.6896832e-05,9.0658002e-05,7.7595451e-05,5.6344435e-05,3.7887896e-05,3.1584078e-05,2.9179529e-05,4.1137287e-05,5.114541e-05,4.9325751e-05,3.7303006e-05,6.1738424e-06,-5.4069862e-05,-0.00012412673,-0.00016838343,-0.00017923639,-0.00015259139,-8.9098294e-05,2.3395613e-06,4.8610885e-05,5.2770106e-05,5.322502e-05,4.5751422e-05,5.264013e-06,-1.3907392e-05,-2.1186028e-05,-7.0446791e-05,-0.0001312104,-0.00012705118,-7.1226645e-05,-1.4947197e-05,7.1161657e-05,0.00015876523,0.00017897644,0.00013264013,0.00010450041,5.770918e-05,3.509342e-06,-2.6839968e-05,-2.4435418e-05,-4.1202275e-05,-2.6450041e-05,3.8992689e-07,2.021121e-05,2.3915516e-05,3.8862713e-05,,
58,,-0.00089230416,0,0.005062,0.004958,0.004768,0.004659,0.004591,0.004455,0.004402,0.004385,0.004426,0.004507,0.004597,0.004753,0.004877,0.005011,0.005125,0.005263,0.005465,0.005671,0.005933,0.006288,0.006592,0.006802,0.006849,0.006718,0.006382,0.005858,0.005494,0.005344,0.005222,0.005205,0.005121,0.004815,0.004518,0.004456,0.004548,0.004437,0.004001,0.00335,0.002799,0.002474,0.002401,0.002378,0.002352,0.002365,0.002379,0.002399,0.002379,0.002256,0.002133,0.002082,0.00204,0.002015,0.00199,0.001933,0.001813,,-5.0123958e-05,-3.4527834e-05,1.532567e-05,3.4888438e-05,6.7523101e-05,8.176696e-05,7.8882128e-05,7.374352e-05,6.3286004e-05,4.7239126e-05,3.2544512e-05,2.7225603e-05,3.0380888e-05,4.9132297e-05,5.9770115e-05,5.6344377e-05,3.4617985e-05,-1.2350687e-05,-9.6371422e-05,-0.00018598152,-0.0002384494,-0.00024187514,-0.00020563444,-0.00011458192,-2.7045301e-07,5.6704981e-05,6.1212531e-05,6.5810232e-05,4.6878522e-05,4.7780032e-06,-1.2170385e-05,-3.0831643e-05,-8.0324544e-05,-0.00012774397,-0.00012188416,-7.2932161e-05,1.532567e-05,0.00011025468,0.00017840883,0.00018336714,0.00014640523,8.1316205e-05,1.8210503e-05,-1.8210503e-05,-3.2183908e-05,-3.2905116e-05,-1.532567e-05,2.8848321e-06,2.5242281e-06,1.1899932e-05,1.4604462e-05,2.3980167e-05,,
59,,-0.0011078924,0,0.003115,0.003044,0.002985,0.002964,0.002964,0.002932,0.002911,0.002939,0.003012,0.003104,0.003235,0.003386,0.00352,0.003656,0.003778,0.003924,0.004127,0.004353,0.004627,0.004962,0.005246,0.005426,0.005467,0.005362,0.005081,0.004637,0.004329,0.00419,0.004098,0.004088,0.00402,0.003764,0.003494,0.003422,0.003522,0.003565,0.003323,0.002792,0.002407,0.002324,0.002356,0.002265,0.002306,0.002384,0.002386,0.002416,0.00239,0.00224,0.002191,0.002191,0.002201,0.002195,0.002174,0.00214,0.002055,,-1.4922861e-05,-5.1612903e-06,2.2328191e-05,3.2650771e-05,5.4530154e-05,6.8218794e-05,7.0350631e-05,6.687237e-05,5.9915849e-05,4.3309958e-05,2.9845722e-05,2.8274895e-05,3.6690042e-05,5.7223001e-05,7.1023843e-05,6.2608696e-05,3.1528752e-05,-2.6479663e-05,-0.00011949509,-0.00021666199,-0.0002688359,-0.00026827489,-0.00022429173,-0.00012476858,-8.9761571e-07,5.9691445e-05,6.5189341e-05,6.5974755e-05,4.7910238e-05,1.8176718e-05,1.3913043e-05,-6.7321178e-07,-3.8036466e-05,-7.0911641e-05,-8.4600281e-05,-6.9228612e-05,2.4235624e-05,0.00011130435,0.00014137447,0.00014238429,0.00013273492,4.7124825e-05,-1.9074334e-05,-2.8835905e-05,-3.085554e-05,-3.5904628e-05,-1.110223e-18,1.5932679e-05,6.6199158e-06,7.7419355e-06,6.171108e-06,7.4053296e-06,,
60,,-0.00071518522,0,0.003961,0.003819,0.00358,0.003415,0.003279,0.003148,0.003027,0.002972,0.002972,0.002988,0.003036,0.003145,0.003244,0.00334,0.003425,0.003541,0.003721,0.003923,0.00419,0.004544,0.00483,0.004994,0.005008,0.004865,0.004526,0.004018,0.003652,0.003475,0.003362,0.003331,0.003238,0.002956,0.00264,0.002592,0.002689,0.002681,0.002397,0.00183,0.001358,0.001148,0.001143,0.001109,0.001108,0.001143,0.001146,0.00119,0.001178,0.001037,0.000916,0.000876,0.000873,0.000832,0.000813,0.000776,0.000701,,-0.00011816486,-9.0712421e-05,1.53674e-05,5.8336442e-05,0.00010458784,0.00013577023,0.00013129429,0.00012099963,0.00010861619,9.2055203e-05,6.8332712e-05,6.0723611e-05,7.1913465e-05,0.00010175308,0.00011697128,0.00010399105,6.0574413e-05,-2.6109661e-05,-0.00016963819,-0.00031346512,-0.00039015293,-0.00039060052,-0.00032495338,-0.00017560612,4.7743379e-06,9.6381947e-05,0.00010414025,0.00010936218,8.2506527e-05,3.3271167e-05,2.0440134e-05,3.7299515e-06,-6.92279e-05,-0.00013412906,-0.0001463633,-0.00010876539,1.3129429e-05,0.00015203282,0.00022961581,0.00023647893,0.00020246177,9.7127937e-05,-1.7903767e-06,-3.998508e-05,-5.4308094e-05,-6.1917195e-05,-2.2827303e-05,1.2980231e-05,1.4173816e-05,2.1633719e-05,3.2077583e-05,3.3420366e-05,,
