date,icase,490.000000,665.000000,865.000000,3.000000,4.000000,5.000000
1970-01-01 00:00:00,0,0.113196,0.086552,0.009658,0.0,0.0,0.0
1970-01-01 00:00:00,1,0.102962,0.079049,0.00868,0.0,0.0,0.0
1970-01-01 00:00:00,2,0.090774,0.074275,0.008182,0.0,0.0,0.0
1970-01-01 00:00:00,3,0.07416,0.070958,0.008785,0.0,0.0,0.0
1970-01-01 00:00:00,4,0.077619,0.084791,0.019874,0.0,0.0,0.0
1970-01-01 00:00:00,5,0.079536,0.087553,0.019471,0.0,0.0,0.0
1970-01-01 00:00:00,6,0.078177,0.065299,0.006612,0.0,0.0,0.0
1970-01-01 00:00:00,7,0.096473,0.104955,0.029626,0.0,0.0,0.0
1970-01-01 00:00:00,8,0.082051,0.082134,0.014732,0.0,0.0,0.0
1970-01-01 00:00:00,9,0.042804,0.049607,0.013051,0.0,0.0,0.0
1970-01-01 00:00:00,10,0.048136,0.056735,0.014704,0.0,0.0,0.0
1970-01-01 00:00:00,11,0.071612,0.086641,0.026642,0.0,0.0,0.0
1970-01-01 00:00:00,12,0.072855,0.087139,0.025263,0.0,0.0,0.0
1970-01-01 00:00:00,13,0.059073,0.05763,0.011556,0.0,0.0,0.0
1970-01-01 00:00:00,14,0.057026,0.055177,0.011139,0.0,0.0,0.0
1970-01-01 00:00:00,15,0.055684,0.056859,0.012687,0.0,0.0,0.0
1970-01-01 00:00:00,16,0.060742,0.067113,0.018108,0.0,0.0,0.0
1970-01-01 00:00:00,17,0.061927,0.070416,0.017163,0.0,0.0,0.0
1970-01-01 00:00:00,18,0.041154,0.031929,0.006478,0.0,0.0,0.0
1970-01-01 00:00:00,19,0.030726,0.018355,0.003195,0.0,0.0,0.0
1970-01-01 00:00:00,20,0.02267,0.011686,0.002849,0.0,0.0,0.0
1970-01-01 00:00:00,21,0.017842,0.009008,0.002189,0.0,0.0,0.0
1970-01-01 00:00:00,22,0.029238,0.019367,0.005515,0.0,0.0,0.0
1970-01-01 00:00:00,23,0.045229,0.026946,0.004031,0.0,0.0,0.0
1970-01-01 00:00:00,24,0.038787,0.019428,0.004009,0.0,0.0,0.0
1970-01-01 00:00:00,25,0.032649,0.023668,0.006061,0.0,0.0,0.0
1970-01-01 00:00:00,26,0.043785,0.042761,0.010214,0.0,0.0,0.0
1970-01-01 00:00:00,27,0.029152,0.025738,0.003661,0.0,0.0,0.0
1970-01-01 00:00:00,28,0.035356,0.032653,0.008017,0.0,0.0,0.0
1970-01-01 00:00:00,29,0.041674,0.036973,0.011059,0.0,0.0,0.0
1970-01-01 00:00:00,30,0.033556,0.026303,0.007246,0.0,0.0,0.0
1970-01-01 00:00:00,31,0.030965,0.020568,0.003821,0.0,0.0,0.0
1970-01-01 00:00:00,32,0.030685,0.022022,0.004765,0.0,0.0,0.0
1970-01-01 00:00:00,33,0.048169,0.041831,0.007353,0.0,0.0,0.0
1970-01-01 00:00:00,34,0.039469,0.033633,0.005583,0.0,0.0,0.0
1970-01-01 00:00:00,35,0.038723,0.028112,0.009584,0.0,0.0,0.0
1970-01-01 00:00:00,36,0.070794,0.066699,0.015787,0.0,0.0,0.0
1970-01-01 00:00:00,37,0.063549,0.06438,0.011327,0.0,0.0,0.0
1970-01-01 00:00:00,38,0.064887,0.061897,0.012115,0.0,0.0,0.0
1970-01-01 00:00:00,39,0.06042,0.056551,0.011515,0.0,0.0,0.0
1970-01-01 00:00:00,40,0.054443,0.043916,0.006856,0.0,0.0,0.0
1970-01-01 00:00:00,41,0.049601,0.04439,0.007288,0.0,0.0,0.0
1970-01-01 00:00:00,42,0.042103,0.0303,0.005062,0.0,0.0,0.0
1970-01-01 00:00:00,43,0.047302,0.04432,0.009685,0.0,0.0,0.0
1970-01-01 00:00:00,44,0.054288,0.053889,0.011173,0.0,0.0,0.0
1970-01-01 00:00:00,45,0.064519,0.072242,0.016844,0.0,0.0,0.0
1970-01-01 00:00:00,46,0.054134,0.028519,0.003225,0.0,0.0,0.0
1970-01-01 00:00:00,47,0.043028,0.026667,0.003156,0.0,0.0,0.0
1970-01-01 00:00:00,48,0.03575,0.028985,0.004169,0.0,0.0,0.0
1970-01-01 00:00:00,49,0.037774,0.026749,0.004464,0.0,0.0,0.0
1970-01-01 00:00:00,50,0.043966,0.035104,0.006088,0.0,0.0,0.0
1970-01-01 00:00:00,51,0.04412,0.030427,0.005584,0.0,0.0,0.0
1970-01-01 00:00:00,52,0.044961,0.034531,0.004935,0.0,0.0,0.0
1970-01-01 00:00:00,53,0.042858,0.030601,0.005007,0.0,0.0,0.0
1970-01-01 00:00:00,54,0.050719,0.042915,0.008032,0.0,0.0,0.0
1970-01-01 00:00:00,55,0.065986,0.07012,0.013987,0.0,0.0,0.0
1970-01-01 00:00:00,56,0.06336,0.060761,0.00987,0.0,0.0,0.0
1970-01-01 00:00:00,57,0.044569,0.025999,0.004577,0.0,0.0,0.0
1970-01-01 00:00:00,58,0.043138,0.026708,0.005243,0.0,0.0,0.0
1970-01-01 00:00:00,59,0.038409,0.029948,0.007325,0.0,0.0,0.0
1970-01-01 00:00:00,60,0.056198,0.04137,0.008982,0.0,0.0,0.0
1970-01-01 00:00:00,61,0.055905,0.04371,0.005422,0.0,0.0,0.0
1970-01-01 00:00:00,62,0.066448,0.06725,0.011558,0.0,0.0,0.0
1970-01-01 00:00:00,63,0.060115,0.049472,0.007755,0.0,0.0,0.0
1970-01-01 00:00:00,64,0.067841,0.065709,0.01065,0.0,0.0,0.0
1970-01-01 00:00:00,65,0.056851,0.046144,0.006338,0.0,0.0,0.0
1970-01-01 00:00:00,66,0.048735,0.034062,0.003879,0.0,0.0,0.0
1970-01-01 00:00:00,67,0.045396,0.035843,0.005056,0.0,0.0,0.0
1970-01-01 00:00:00,68,0.041277,0.031539,0.004851,0.0,0.0,0.0
1970-01-01 00:00:00,69,0.046449,0.039468,0.005562,0.0,0.0,0.0
1970-01-01 00:00:00,70,0.044791,0.037123,0.00792,0.0,0.0,0.0
1970-01-01 00:00:00,71,0.034226,0.024355,0.003326,0.0,0.0,0.0
1970-01-01 00:00:00,72,0.044253,0.040844,0.005785,0.0,0.0,0.0
1970-01-01 00:00:00,73,0.043645,0.041748,0.006942,0.0,0.0,0.0
1970-01-01 00:00:00,74,0.053521,0.063106,0.016944,0.0,0.0,0.0
1970-01-01 00:00:00,75,0.038842,0.034018,0.005769,0.0,0.0,0.0
1970-01-01 00:00:00,76,0.042143,0.047822,0.00877,0.0,0.0,0.0
1970-01-01 00:00:00,77,0.042613,0.047984,0.009092,0.0,0.0,0.0
1970-01-01 00:00:00,78,0.036965,0.035667,0.004522,0.0,0.0,0.0
1970-01-01 00:00:00,79,0.042905,0.052297,0.009677,0.0,0.0,0.0
