File,Resolution (nm),N spectra,P. globosa (n),P. globosa (%),Diatoms (n),CHL valid (n),MALH P.glob median,MALH Diatom median,Candidate threshold,Misclassified (%)
aquatime_5nm,5.0,779,141,18.1,638,0,-0.0002,-0.00252,-0.00142,37.6
aquatime_10nm,10.0,779,36,4.6,743,0,0.00253,-0.00173,-0.00103,8.3
