wavelength,lu,lu_std,ld,ld_std,ed,ed_std,lw,lw_std,rhow,rhow_std,rhow_nosc,rhow_nosc_std,cycle_id,platform_id,azimuth,timestamp,solar_zenith_angle
355.0,5.826317590004823,0.294606343145101,59.89307648649859,0.030679351489798973,532.7428399311963,0.35643101413344225,4.233305498847528,0.294606343145101,0.012898577996338102,0.0009167575346122913,0.02496386710199292,0.001737298099482924,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
357.5,5.903291965710159,0.2971632642697822,59.15418808431918,0.029646613327350524,536.6997194324539,0.4522596713672069,4.329932532718671,0.2971632642697822,0.013280139153024216,0.0009104390926105824,0.02534542825867903,0.001739456709487257,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
360.0,6.100024493948097,0.30635336219724885,59.537111570099306,0.026154075820816493,549.1081950107276,0.47955567167461455,4.516480215251224,0.30635336219724885,0.013774684133206956,0.0009099783616901087,0.02583997323886177,0.0017527282980408026,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
362.5,6.552310289110057,0.331880855432586,62.375309260721984,0.02315698130640158,590.8659656510284,0.4748326982054192,4.893276763517079,0.33188085543258594,0.013951918223775568,0.0009296175821526443,0.026017207329430383,0.0017645870940380059,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
365.0,7.0761833448255524,0.35769129045298365,65.77323248556891,0.02553951165226681,630.9570624916933,0.4723027015630677,5.3267732164673856,0.35769129045298365,0.01445719966419413,0.0009260693197476476,0.02652248876984894,0.0017809774977436599,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
367.5,7.42529406471373,0.374993136903786,67.46645512299551,0.028545230263804944,659.4622191774146,0.5287043849477281,5.630848277934346,0.374993136903786,0.014759343252363862,0.000922500514647337,0.026824632358018675,0.001786418766359364,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
370.0,7.589740557887354,0.3833976653497406,67.34828332323467,0.030822990179580952,667.0138966636481,0.6632854859656812,5.798437857369287,0.3833976653497406,0.015244981139275561,0.0009331413819382065,0.027310270244930376,0.0018057784026553798,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
372.5,7.5790159584362575,0.38300811322718864,65.46917162366776,0.033175741675712085,663.557790897753,0.6658858758508562,5.837693119258591,0.38300811322718864,0.015573077995064554,0.0009353019862997442,0.02763836710071937,0.001813339382470203,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
375.0,7.703219049289834,0.39097461463238287,64.66177155860616,0.030300986704104818,668.2152684180083,0.596256564146349,5.983371114082652,0.39097461463238287,0.01606533828962433,0.0009497371959320001,0.028130627395279148,0.0018381546114280506,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
377.5,7.782539096627449,0.3945419332059524,63.59029892379302,0.030065332473587184,671.0743457212725,0.5464467935678698,6.091189761971974,0.3945419332059524,0.016450235485387408,0.0009571224187922332,0.02851552459104222,0.0018470234286198598,RTBE-P-JAGUAR_021487_20240424_124502,OOSTENDE_RT1,270,2024-04-24T12:48:44,40.12
